CODIGO;PRACTICA;Precio1;Precio2;Precio3;Precio4
6;Acth;2600;4300;8500;2600
13;Aglutininas;400;700;1400;400
18;Aldolasa;1900;3100;6200;1900
19;Aldosterona;3100;5200;10400;3100
20;Alfa Feto Prot.E.Q.L.;2600;4300;8500;2600
22;Amilasemia;800;1300;2500;800
23;Amilasuria;600;1000;1900;600
35;Antibiograma;1200;2100;4100;1200
36;Antibiogr.Bacilo De Koch;1400;2300;4600;1400
41;Antic.Antimembrana Basal;2400;4000;8000;2400
42;Antic.Antimúsculo Liso;2400;4000;8000;2400
48;Antidesoxirribonucleico;2700;4400;8900;2700
51;Antiestreptolisina 0;1100;1800;3600;1100
55;Antimitocondriales, Antic.;2700;4500;8900;2700
56;Antinucleares, Anticuerpos;2900;4800;9500;2900
63;Anticuerpo Anti Vih-Elisa;2800;4600;9200;2800
101;Baciloscopía Directa;600;1000;2100;600
102;Baciloscopía Direc.Y Cultivo;1500;2500;5000;1500
105;Bacteriología Dir. Y Cultivo;1500;2600;5100;1500
108;"Bence Jones;Proteínas";900;1600;3100;900
110;Bilirrubinemia Total, Dir.E In.;400;700;1300;400
133;Calcemia Total;400;600;1200;400
134;Calcio Iónico;1200;2100;4100;1200
136;Calciuria;400;600;1200;400
137;Calcitonina Plasmática ;2600;4300;8500;2600
138;Cálculo Urinario, Exámen;2200;3600;7300;2200
144;Cea(Carcino Embriogén);3200;5400;10800;3200
147;Células L.E.;400;600;1200;400
169;Coagulación Y Sangría,T;300;600;1100;300
171;Coagulograma Básico;1500;2600;5100;1500
174;Colesterol Total;600;1000;1900;600
176;Colonias, Recuento;500;800;1700;500
180;Complemento(C3-C4);2600;4400;8800;2600
184;Coombs Directa-Prueba;400;700;1400;400
186;Coombs Indirecta, Cuant.;1500;2500;5000;1500
187;Coprocultivo;2600;4300;8500;2600
189;Cortisol Plasmático;2600;4300;8500;2600
190;Creatinquinasa-Cpk;1300;2100;4300;1300
192;Creatinina Orina O Sangre;500;900;1800;500
193;Creatinina Clearence O Dep.;1200;1900;3800;1200
203;Monit.Drog. Ácid.Valproico;4000;6600;13300;4000
204;Monit.Drog.Carbamazepine;4000;6600;13300;4000
205;Mon.Drog.Dif.-Hidant.-Fento.;4000;6600;13300;4000
206;Mon.Drog.Fenobarbital;4000;6600;13300;4000
207;Mon.Drog.Teofilina;4000;6600;13300;4000
208;Delta 4 Androsterodiona;4000;6600;13300;4000
209;Dehidroepiandrosterona;4000;6600;13300;4000
211;Ant.Microsomal-Tiroide E.Q.L;4000;6600;13300;4000
212;Ant.Antitiroglobulina E.Q.L;4000;6600;13300;4000
243;Chagas, Inmunofluorescen.;1800;2900;5900;1800
293;Embarazo, Reación Inmulog.;900;1500;3100;900
295;Eosinófilos;300;400;900;300
297;Eritrosedimentación;300;400;900;300
300;Estradiol Plasmático X E.Q.L;2500;4100;8200;2500
302;Estriol Plasmático X E.Q.L;2600;4300;8500;2600
304;Estrógenos Totales X E.Q.L.;2600;4300;8500;2600
309;Exudado Nasofaríngeo;400;700;1400;400
331;Factor De Coagulacion V;2200;3700;7400;2200
332;Factor De Coagulacion Vii;4500;7400;14900;4500
333;Factor De Coagulación Viii;3700;6200;12400;3700
334;Factor De Coagulación Ix;3700;6200;12400;3700
335;Factor De Coagulación X;2200;3700;7400;2200
343;Ferremia;600;1100;2100;600
345;Fibrinógenos En Sangre;700;1200;2500;700
348;Fijación De Compl.P Brucelas;400;700;1400;400
353;Fondo Oscuro;1000;1700;3300;1000
355;Fosfatasa Ácida Prostática;700;1200;2500;700
356;Fosfatasa Ácida Total;700;1200;2500;700
357;Fosfatasa Alcalina;600;1000;1900;600
362;Fosfatemia O Fosfaturia;300;500;1100;300
370;Fsh X E.Q.L.;2500;4100;8200;2500
371;Fta-Abs-Inmunofluorescenc.;2200;3700;7400;2200
405;Gastrina Plasmática Por E.Q.L.;2600;4300;8500;2600
409;Globulos Blancos Recuiento De;200;400;700;200
410;Globulos Rojos Recuento De;200;400;700;200
412;Glucemia;400;700;1400;400
413;Glucemia, Curva De Tolerancia;2000;3300;6600;2000
414;Glucemia Post-Prandial;1400;2300;4500;1400
420;Glutamil Transpeptidasa,Gama;600;900;1900;600
424;Gonadotrofinas Coriónicas,Cuant.;3300;5400;10900;3300
429;Gota Gruesa;600;900;1900;600
430;Graham, Test Seriado;800;1300;2600;800
433;Grupo Sanguíneo;400;700;1400;400
466;Hematocrito;300;500;1100;300
468;HEMOCULTIVO, AEROBIOS Y ANAEROBIOS.                                                                 ;2100;3500;7000;2100
475;Hemograma;700;1100;2200;700
481;Hepatograma;1300;2200;4300;1300
483;Hidatidosis,Hemoagl.-Arco Cinco;1200;2100;4100;1200
494;Huddleson Reacción De;700;1100;2200;700
532;Identificación Serológica De Ger.;1300;2100;4300;1300
537;Inmunoglobulina A Iga;1300;2200;4300;1300
538;Inmunoglobulina D;800;1400;2800;800
539;Inmunoglobulina E;3300;5400;10900;3300
540;Inmunoglobulina G;1300;2200;4300;1300
541;Inmunoglobulina M;1600;2600;5200;1600
543;Insulina Por E.Q.L;2600;4300;8500;2600
546;Ionograma Plasmático;800;1300;2700;800
547;Ionograma Urinario;600;1000;2000;600
594;Láctico Dehidrogenasa Ldh;700;1100;2200;700
598;Látex Artritis Reumatoidea;1000;1700;3400;1000
612;L:H. Por E.Q.L;2500;4100;8200;2500
613;Lipasa En Sangre;900;1600;3100;900
614;Lipemia O Lípidos Totales Sangre;300;600;1100;300
617;Ldl-Colesterol ( Ips 617);1600;2600;5200;1600
620;Líquido De Punción Fis-Químico;2200;3600;7200;2200
623;Litio Plasmático;1900;3100;6200;1900
653;Magnesio En Sangre;500;900;1700;500
654;Magnesio En Orina;500;900;1700;500
664;Micología Directa;500;800;1700;500
665;Micología, Cultivo E Identificación;2300;3800;7600;2300
668;Moco Nasal Ph Y Citológico;400;600;1200;400
669;Mononucleosis, Test De Látex;700;1200;2500;700
670;Mononucleosis, Paul Bunell;600;900;1900;600
677;Material Descartable P Ext.Sang;200;300;600;200
702;5´ Nucleotidasa;700;1200;2500;700
711;Orina Completa;600;1100;2100;600
736;Parasitológico Seriado Mat.Fecal;1100;1900;3700;1100
737;Parásitos Hemáticos;600;900;1900;600
739;Parathormona Plasmática X E.Q.L;2900;4800;9500;2900
746;Plaquetas, Ecuento De;300;400;900;300
749;Plomo En Orina;4000;6700;13400;4000
753;Potasemia;300;500;1000;300
754;Potasuria;300;500;1000;300
758;Progesterona Plasmática X E.Q.L;3200;5300;10700;3200
759;Prolactina Plasmática X E.Q.L;2500;4100;8200;2500
761;Proteína C Reactiva;1100;1800;3600;1100
762;Proteínas Fraccionadas;700;1100;2300;700
763;Proteínas Totales;300;400;900;300
764;Proteinograma En Acetato De Cel;2200;3600;7200;2200
767;Proteinuria;300;500;900;300
771;Protrombina, Tiempo De;800;1300;2600;800
772;Pseudocolinesterasa;1200;2100;4100;1200
812;Renina-Angiotensina Plasmática;2600;4300;8500;2600
813;Rh;500;800;1500;500
818;Reticulositos, Recuento;500;800;1500;500
820;Rosse Ragan, Prueba De;1000;1600;3200;1000
833;Sangre Oculta,Materia Fecal;2000;3300;6700;2000
839;Sodio, Sangre U Orina;300;500;1000;300
841;Somatotrofina Plasmática E.Q.L;2600;4300;8500;2600
863;Testosterona Plasmática X E.Q.L;3400;5700;11400;3400
865;Tirotrofina Plasmática X E.Q.L;2500;4100;8200;2500
866;Tiroxina Total (T4) X E.Q.L.;2000;3300;6500;2000
867;Tiroxina Efectiva (Etr) X E.Q.L.;2100;3400;6800;2100
869;Toxoplasmosis, Igm;2800;4600;9200;2800
871;Toxoplasmosis, Inmunofluoresc.(S/Cob);1800;2900;5900;1800
873;Transaminasa Glutámico Oxalac.;400;600;1200;400
874;Transaminasa Glutámico Pirúvica;400;600;1200;400
875;Transferrina, Inmunodifusión;1300;2200;4300;1300
876;Triglicéridos;1000;1600;3200;1000
877;Triiodotironina(T3) Por E.Q.L.;1900;3200;6400;1900
878;Triiodotironina Total(Tt3) Por E.Q.L.;2000;3300;6600;2000
887;Ttpc, Tiempo Trombopls.(Kptt);400;600;1200;400
888;Tripsina Inmuno React.P/Fibrosis;1500;2500;5100;1500
889;Pesquisa Neonatal                                                                       ;13200;22000;44000;13200
901;Uremia;400;700;1400;400
903;Uretral, Exudado;800;1300;2700;800
904;Uricemia;600;1000;1900;600
905;Úrico, Ácido En Orina;600;1000;1900;600
931;Vaginal, Exudado O Flujo;1000;1600;3200;1000
933;Vdrl Cualitativa;500;900;1700;500
934;Vdrl Cuantitativa;800;1400;2800;800
953;Widal, Reacción De;1000;1700;3300;1000
959;Hdl-Colesterol;1500;2500;5000;1500
963;Iga Secretoria;2000;3300;6600;2000
965;Hemoglobina Glucosilada;3200;5400;10700;3200
996;Cpk Mb;4000;6600;13300;4000
998;Recepción Y Toma Muestra;1000;1700;3400;1000
1182;Chla.T.Chlamydia Trach. Antig.;4300;7200;14500;4300
1186;Chlamydia Trach. Anticuerpo;5100;8500;17100;5100
1214;Citomegalovirus Igg Anticuerpos;3400;5700;11400;3400
1216;Citomegalovirus Igm Anticuerpos;5100;8500;17100;5100
1218;Citomegalovirus-Antígeno;4000;6700;13400;4000
1346;Dna Nativo-Anti;2200;3600;7200;2200
1526;Fructosamina Frtm-San-Semen;3300;5400;10900;3300
1566;Hepatitis A  Antic (Igg) Hav Igg;3300;5600;11100;3300
1568;Anti Hav Igm Hepatitis A Antic.(Igm);4400;7300;14700;4400
1569;Hepatitis B Antig(Hbvs) Ag Hbs;3400;5700;11400;3400
1570;Hepatitis B Anticore(Antihbvs);3400;5700;11400;3400
1572;Hepatitis B Anticore(Igm);5100;8500;17100;5100
1574;Hepatitis B Anti Superficie;4500;7600;15200;4500
1583;Hepatitis C (Hcv);5100;8500;17100;5100
1746;Marcador Tumor.Colon(Ca 19-9);6700;11100;22200;6700
1748;Marcador Tumor.Mama(Ca 15-3);6400;10700;21300;6400
1750;Marcador  Tumor Ovario(Ca 125);6400;10700;21300;6400
1784;Microalbuminuria(Malb);5100;8500;17100;5100
1966;Antígeno Prostátic.Especif.(Psa);6400;10700;21300;6400
2016;Rnp Anti;5100;8500;17100;5100
2018;Ro Anti;5100;8500;17100;5100
2021;Micro Strout Seriado;2000;3300;6600;2000
2040;Rubeola Antc.Igg;3800;6400;12800;3800
2044;Rubeola Antc.Igm;5100;8500;17100;5100
2333;Dimero D;7700;12900;25700;7700
2709;Anticuerpo anticoagulante lupico;7400;12400;24800;7400
3392;IGG anticardiolipina;4500;7400;14900;4500
3401;IGM anticardiolipina;4500;7400;14900;4500
4632;IGA antiendomisio;3500;5800;11600;3500
5230;Ferritina                                                                                           ;3700;6200;12400;3700
6606;IGE para leche de vaca                  ;3700;6200;12400;3700
7708;Micoplasma-Ureaplasma (Cultivo)                                                                     ;12000;19900;39900;12000
8284;Ac. Anti Igg Ccp                                                                                    ;9900;16600;33100;9900
9622;IGA anti transglutaminasa;5500;9100;18200;5500
130104;Escision Local ;22500;37400;;22500
130105;Inc. Y Drenaje Absc.;13100;21900;;13100
130106;Destruc.Lesion Piel;12300;20500;;12300
130107;Destruc.Lesion Piel;20100;33500;;20100
130108;Biopsia;13100;21900;;13100
130109;Escision  De Uña;15100;25200;;15100
130110;Sutura De Heridas;24500;40800;;24500
130114;Inc.Y Dren Absc.Prof.;25600;42600;;25600
150101;Biopsia P/ Incision;6300;10600;;6300
150102;Est.Macro Y Micros.;11300;18800;;11300
150103;Est.Macro Y Micros.;15000;25000;;15000
150104;Biopsia P/ Congelac.;12800;21400;;12800
150105;Biopsia Seriada;12800;21400;;12800
150110;Oncolog.Seriada Bronquial Orina;11000;18300;;11000
150111;Citologia De Liquidos;6300;10600;;6300
40106;Punciones De Organos Superf.;13300;22200;;13300
60111;Punción Mamaria;11900;19800;;11900
150106;Papanicolau;4100;6800;10200;4100
220101;Colposcopia;2300;3800;5700;2300
170101;Electrocardig.;4100;6800;10200;4100
170111;Ergometria;4600;7600;11400;4600
170118;Electro Holter;12300;20500;30800;12300
170129;Mapa;14000;23300;35000;14000
180103;Ecocardiograma;7600;12700;19100;7600
180131;ECODOPPLER CARDIACO COLOR                                                                           ;30000;49900;74900;30000
180104;Ecografía Tocoginecológica;3600;6100;12100;3600
180106;Ecografía Mamaria Bilateral;4200;6900;13900;4200
180110;Ecografía Tiroidea;3500;5800;11600;3500
180111;Ecografía De Testículos;3500;5800;11600;3500
180112;Ecografía Completa De Abdómen;4600;7700;15300;4600
180113;Ecografía Hepática, Biliar;4300;7100;14200;4300
180114;Ecografía Devejiga O Próstata;3000;5000;10100;3000
180116;Ecografía Renal Bilateral;3800;6300;12600;3800
180120;Ecografía De Partes Blandas;3500;5800;11600;3500
180122;Ecografia De Caderas;3000;5000;10100;3000
190201;Dieta;3600;6100;9100;3600
200122;Endoscopia;19100;31900;;19100
250110;Ses.Fisioterapia ;1900;3100;4700;1900
290102;Eeg;8100;13500;20300;8100
300102;Campo Visual;1100;1800;2700;1100
300119;Fondo De Ojo;1300;2200;3300;1300
300122;Exolftalmolog.;2100;3500;5200;2100
250104;Rehab.Lenguaje;1500;2400;3600;1500
310102;Audiometria;1300;2100;3200;1300
310103;Logoaudiometria;1500;2500;3800;1500
310104;Prueb.Supral.;1300;2100;3200;1300
310201;Otoemisiones Acusticas Por Prod.De Distorsion                                                       ;5300;8800;13200;5300
330101;Sesión Psicología;2500;4100;6200;2500
340201;Rad. De Cráneo, Cara, Senos Paran.;2100;3500;6900;2100
340202;Por Exposición Subsiguiente;1400;2300;4700;1400
340203;Hueso Temporal O Agujeros Ópticos;2600;4400;8800;2600
340204;Articulación Temporomandibular;2600;4400;8800;2600
340209;Radiografía De Raquis-Columna-;2400;4000;8000;2400
340210;Por Exposición Subsiguiente;1700;2900;5700;1700
340211;Rad. De Hombro-Húmero-Pelvis;2400;4000;8000;2400
340212;Por Exposición Subsiguiente;1700;2900;5700;1700
340213;Rad. De Codo-Antebrazo-Muñeca;2400;4000;8000;2400
340301;Rad. O Telerradiografía De Tórax;2100;3500;6900;2100
340302;Por Exposición Subsiguiente;1500;2400;4900;1500
340421;Radiografía Simple De Abdómen;2000;3300;6500;2000
340422;Por Exposición Subsiguiente;1400;2300;4700;1400
340501;Radiografía Simple De Arbol Urinario;2000;3300;6500;2000
340103;Radioscopia Con Circuito Cerrado De Television                                                  ;4100;6800;;4100
340402;Esofago, Estudio Rad. Seriado;3700;6100;;3700
340403;Estomago Y Duodeno, Seriado;7300;12200;;7300
340404;Estomago Y Duodeno,Tec. Doble;9400;15600;;9400
340405;Seriado Esogagogastroduodenal;10000;16600;;10000
340407;Transito De Intestino Delgado;4900;8200;;4900
340408;Radiolog. Ileocecoapendicular;2100;3600;;2100
340412;Colon Por Enama Doble Contraste;12200;20300;;12200
340416;Colangiografia Operatoria;3200;5400;;3200
340417;Colangiografia Operatoria C/ Placa;1400;2300;;1400
340418;Colangiografia Post-Operatoria;4500;7400;;4500
340604;Histerosalpingografia Con Prueba De Cotte;4300;7100;;4300
220202;Monit.Fetal;2000;3400;5100;2000
340601;Mamografias Fte;2900;4800;7100;2900
340602;Mamografia Axial;2000;3300;5000;2000
340609;Mamografia Localizada - Focalizada                                                                  ;3800;6400;9600;3800
360102;Uretrocistofibr.;10800;17900;26900;10800
360120;Flujometria Mic.;7100;11800;17700;7100
370601;Orientacion pedagogica;1200;2100;3100;1200
370602;Contrato terapeutico;1000;1700;2500;1000
370603;Valoracion psicopedagogica;3000;5000;7500;3000
720202;Esternón, Escapula;35100;58500;;35100
720203;Clavicula, Costillas;5100;8400;;5100
720204;Fracturas Diafisiarias;5900;9800;;5900
720205;Pelvis, Femur,Humero;57600;96000;;57600
720207;Fracturas Mediotarsianas;6300;10500;;6300
720208;Fract.De Metatarsianos Y Falanges De Pie                                                            ;5900;9800;;5900
720209;Fracturas De Pierna Y Tobillo;45000;74900;;45000
720405;Escapula, Cubito, Radio;99400;165700;;99400
721570;Uña Encarnada;14600;24300;;14600
722101;Infiltraciones;3000;5100;;3000
722201;Collar De Shanz Enyesado;7100;11900;;7100
722202;Vendaje De Shanz;7100;11900;;7100
722203;Corset;35900;59800;;35900
722204;Corselete;19600;32700;;19600
722205;Corse De Risser;70100;116800;;70100
722206;Minerva;57200;95300;;57200
722207;Vendaje Para Costilla;9800;16400;;9800
722208;Vendaje En 8;6500;10800;;6500
722209;Vendaje De Robert J.;7100;11900;;7100
722210;Velpeau De Yeso;10200;16900;;10200
722211;Vedaje De Velpeau;9800;16400;;9800
722212;Yeso Toraco;42400;70700;;42400
722213;Yeso Braquipalmar;15500;25800;;15500
722214;Yeso Colgante;17100;28500;;17100
722215;Yeso Antebraquipal.;14000;23300;;14000
722216;Mano De Yeso;7100;11900;;7100
722217;Valva Larg.M.Sup.;6500;10800;;6500
722218;Valva Corta M.Sup.;6500;10800;;6500
722219;Yeso Pélvico;38000;63300;;38000
722220;Ducroquet;17600;29400;;17600
722221;Calza De Yeso;16900;28200;;16900
722222;Bota Larga De Yeso;16700;27800;;16700
722223;Bota Corta De Yeso;14600;24400;;14600
722224;Botín De Yeso;7100;11900;;7100
722225;Valva Larga M. Inf.;7100;11900;;7100
722226;Valva Corta.M.Inf.;7100;11900;;7100
722227;Yesos Funcionales;23100;38400;;23100
722228;Pasta De Unna O Similares, Vendajes, Est                                                            ;7100;11900;;7100
341001;T.A.C. Cerebral. L;78800;102400;;78800
341002;T.A.C. Cerebral Ref. L;93600;121600;;93600
341003;T.A.C. Cerebral De Ctrol. L;142800;185600;;142800
341004;T.A.C. Oftalmologica. L;100;200;;100
341005;T.A.C. Tiroidea. L;235100;305600;;235100
341006;T.A.C. Mamaria. L;3300;4300;;3300
341007;T.A.C. Ginecologica. L;1000;1300;;1000
341008;T.A.C. Comp. De Abdomen. L;1600;2100;;1600
341009;T.A.C. Hepatobiliar, Esplenica, Pancreatica, Supra;112600;146400;;112600
341010;T.A.C. Torax;153200;199200;;153200
